,severity_proba
1321,0.6808319
1322,0.013209583
1323,0.0032005142
1324,0.0063143745
1325,0.007002449
1326,0.0032817193
1328,0.018588476
1329,0.76230735
1330,0.16612239
1331,0.9290591
1332,0.78855217
1333,0.8554368
1335,0.59181845
1336,0.46413952
1338,0.73076326
1339,0.0011820974
1340,0.023694143
1341,0.0017138892
1342,0.0141653055
1343,0.0056285327
1344,0.78474605
1345,0.0029657574
1346,0.05868509
1347,0.033535033
1348,0.25348735
1349,0.05026685
1350,0.17617607
1351,0.010091263
1352,0.022667646
1353,0.005183717
1354,0.012839267
1356,0.03221756
1357,0.007096983
1358,0.3798048
1359,0.0060131275
1360,0.043364998
1361,0.0026338152
1363,0.0053747245
1364,0.049714833
1365,0.004234329
1366,0.007635266
1367,0.00893041
1368,0.42397588
1369,0.42334658
1370,0.005737497
1371,0.11080383
1372,0.008514197
1373,0.023998097
1374,0.015993537
1375,0.15239868
1376,0.39712662
1377,0.10682062
1378,0.34024537
1379,0.015517097
1380,0.16583577
1381,0.038809538
1382,0.14912409
1383,0.00775964
1384,0.018736696
1385,0.03537758
1386,0.30414394
1387,0.00951053
1388,0.056724813
1389,0.024215244
1390,0.012048988
1391,0.009348353
1392,0.12556952
1393,0.0860704
1394,0.020800121
1395,0.085126944
1396,0.005556753
1397,0.010076513
1398,0.0027563416
1399,0.12656662
1400,0.0036228162
1401,0.01625005
1402,0.060818695
1403,0.08727359
1404,0.012102142
1405,0.4861199
1406,0.0042779264
1407,0.36556527
1408,0.010164403
1409,0.055351887
1410,0.2693329
1411,0.01660603
1412,0.35188946
1413,0.55482376
1414,0.03253382
1415,0.0067137387
1416,0.0026640934
1417,0.013111216
1418,0.007784988
1419,0.0053378125
1420,0.0963698
1421,0.005693072
1422,0.005427358
1423,0.0032382729
1424,0.010115317
1425,0.018797234
1426,0.003569659
1427,0.023721647
1428,0.009067797
1429,0.0022821028
1430,0.0051981364
1431,0.006011594
1432,0.0054982184
1433,0.0154972365
1434,0.019559955
1435,0.0033408774
1437,0.03105981
1438,0.29769996
1439,0.003987728
1440,0.08689852
1442,0.01617292
1443,0.0024321459
1444,0.008176792
1445,0.023935262
1447,0.38457787
1448,0.011397963
1450,0.008002423
1451,0.012449049
1452,0.3724337
1453,0.12069245
1454,0.028211158
1455,0.084931076
1456,0.2820944
1457,0.23551166
1458,0.25634935
1459,0.004056287
1460,0.04326471
1461,0.11151513
1462,0.009271925
1463,0.027191153
1464,0.024696842
1465,0.37961262
1466,0.095388375
1468,0.0055212365
1469,0.0043611377
1470,0.0036094238
1471,0.003781502
1473,0.075238705
1475,0.5835145
1477,0.010567278
1479,0.448178
1483,0.19798186
1484,0.015750729
1488,0.0010139565
1493,0.42325214
1494,0.0030239942
1496,0.29070395
1498,0.21277884
1499,0.057811923
1501,0.63179535
1502,0.43416145
1503,0.15853658
1504,0.7755989
1505,0.4590829
1506,0.005957055
1507,0.012747373
1508,0.0110134
1509,0.0039779446
1510,0.004568128
1511,0.08220278
1512,0.104874805
1513,0.06826303
1516,0.010951966
1517,0.27449238
1518,0.66543037
1519,0.3793663
1520,0.0036670244
1523,0.010053119
1524,0.4531693
1525,0.004653948
1527,0.112448074
1528,0.018980207
1529,0.09822361
1530,0.11363251
1532,0.08330417
1533,0.069607265
1534,0.36391416
1535,0.009255054
1537,0.093702294
1538,0.1499921
1539,0.07954516
1540,0.08242817
1541,0.07427862
1543,0.10951545
1544,0.08971185
1545,0.025832664
1546,0.12374107
1548,0.24977969
1549,0.0008221427
1550,0.005142169
1551,0.008514104
1552,0.015571247
1553,0.0021494646
1554,0.004248803
1555,0.0052568587
1556,0.013868199
1557,0.11102431
1558,0.14482068
1559,0.018928438
1560,0.36786634
1561,0.0068613663
1562,0.072911784
1564,0.08299842
1565,0.013181983
1566,0.011277792
1568,0.020917855
1569,0.011207246
1571,0.04904124
1572,0.12802361
1573,0.106860705
1574,0.21381128
1575,0.36835885
1576,0.013393555
1577,0.010299655
1578,0.020413792
1579,0.004167356
1580,0.06555144
1581,0.24715313
1583,0.18122552
1584,0.14034045
1585,0.08200561
1586,0.017994246
1587,0.06436699
1588,0.01846604
1589,0.094397515
1590,0.07522277
1591,0.12012058
1592,0.08752294
1593,0.0346281
1594,0.042404234
1595,0.1721309
1596,0.020403625
1597,0.013620182
1598,0.11956675
1599,0.0129659185
1600,0.009490127
1601,0.009197191
1603,0.096859775
1604,0.019705312
1605,0.17686497
1608,0.005941489
1609,0.09736841
1610,0.006852748
1612,0.10275168
1613,0.0044322438
1614,0.0046595065
1615,0.3980444
1616,0.0500759
1617,0.113477804
